,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,HOME,OPP_RANK,PL_RATING,OPP_RATING,WON
934,29:18,5.0,11.0,0.455,2.0,5.0,0.4,1.0,1.0,1.0,1.0,4.0,5.0,11.0,1.0,0.0,4.0,3.0,13.0,2.0,2013,111.0,0.489,0.708,0.444,23.0,49.0,98.0,0.439,0.72,0.381,27.0,36.0,1,0,0.8059999999999999,14.8,115.0,0
935,22:17,4.0,12.0,0.3329999999999999,1.0,5.0,0.2,1.0,1.0,1.0,0.0,2.0,2.0,4.0,3.0,0.0,3.0,1.0,10.0,-3.0,2013,108.0,0.513,0.8240000000000001,0.48,26.0,46.0,85.0,0.366,0.645,0.278,18.0,40.0,1,1,0.387,19.6,103.0,1
936,30:16,7.0,16.0,0.4379999999999999,1.0,5.0,0.2,3.0,3.0,1.0,0.0,2.0,2.0,9.0,0.0,0.0,1.0,1.0,18.0,11.0,2013,113.0,0.529,0.619,0.455,27.0,35.0,107.0,0.48,0.893,0.476,21.0,41.0,1,1,0.344,21.4,111.0,1
937,30:02,5.0,10.0,0.5,1.0,4.0,0.25,2.0,2.0,1.0,0.0,3.0,3.0,7.0,1.0,0.0,0.0,1.0,13.0,10.0,2013,111.0,0.5379999999999999,0.792,0.316,28.0,44.0,97.0,0.4529999999999999,0.846,0.235,26.0,36.0,1,1,0.655,19.8,102.4,1
938,21:51,6.0,10.0,0.6,1.0,4.0,0.25,1.0,1.0,1.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,3.0,14.0,28.0,2013,88.0,0.395,0.8079999999999999,0.2689999999999999,19.0,40.0,108.0,0.469,0.917,0.179,28.0,45.0,0,0,0.467,20.8,100.0,1
939,31:59,7.0,18.0,0.389,2.0,5.0,0.4,3.0,3.0,1.0,1.0,7.0,8.0,6.0,2.0,0.0,4.0,5.0,19.0,-7.0,2013,96.0,0.419,0.955,0.188,16.0,43.0,98.0,0.44,0.667,0.5,24.0,44.0,0,0,0.581,20.4,105.0,1
940,43:12,13.0,27.0,0.481,4.0,11.0,0.364,4.0,6.0,0.667,1.0,3.0,4.0,7.0,1.0,0.0,6.0,3.0,34.0,-1.0,2013,104.0,0.481,0.87,0.364,28.0,39.0,98.0,0.42,0.8,0.348,25.0,41.0,1,0,0.355,18.6,104.6,0
941,30:18,9.0,19.0,0.474,5.0,11.0,0.455,4.0,4.0,1.0,2.0,9.0,11.0,11.0,0.0,1.0,4.0,2.0,27.0,19.0,2013,103.0,0.379,0.913,0.4,14.0,50.0,126.0,0.478,0.774,0.4,25.0,49.0,0,0,0.7,15.8,101.4,1
942,28:19,2.0,10.0,0.2,1.0,5.0,0.2,0.0,0.0,0.0,0.0,3.0,3.0,5.0,0.0,0.0,5.0,0.0,5.0,-12.0,2013,103.0,0.446,0.8,0.357,24.0,56.0,83.0,0.357,0.818,0.238,17.0,41.0,1,0,0.552,20.6,97.8,0
943,35:44,6.0,15.0,0.4,3.0,9.0,0.3329999999999999,4.0,5.0,0.8,3.0,5.0,8.0,9.0,0.0,0.0,4.0,0.0,19.0,-2.0,2013,96.0,0.4039999999999999,0.667,0.308,26.0,45.0,104.0,0.4629999999999999,0.682,0.419,27.0,44.0,0,0,0.3329999999999999,21.4,100.0,1
944,31:58,7.0,13.0,0.5379999999999999,3.0,4.0,0.75,0.0,0.0,0.0,0.0,5.0,5.0,8.0,2.0,0.0,2.0,2.0,17.0,12.0,2013,93.0,0.435,0.765,0.3,26.0,50.0,86.0,0.41,0.833,0.095,11.0,39.0,1,1,0.516,23.6,94.8,1
